07/14/17 16:58:11.351 AB ================ AB START ========================
07/14/17 16:58:11.354 AB Args: -ipServer 172.30.29.1 -ip 172.30.26.142 -cmd C:\Autoclient\TOOL\ab\Temp\172.30.26.142_TempAb.ab -out C:\Autoclient\TOOL\ab\Temp\172.30.26.142_2017_07_14_16_58.out -dir C:\Autoclient\TOOL\AB5\ -log 5 -wavdir C:\Autoclient\TOOL\ab\WavFiles -apMac ff11111111ff -mac 0009ef0aa002 -rtp 
07/14/17 16:58:11.354 AB 
07/14/17 16:58:11.356 AB java.vm.name Java HotSpot(TM) 64-Bit Server VM
07/14/17 16:58:11.356 AB java.runtime.version 1.8.0_121-b13
07/14/17 16:58:11.356 AB AB4 -- Automated Badge Version 4 (Build 9400)
07/14/17 16:58:11.356 AB Apr 21 2013  added -phoneLogDir for vomo-SIP logs.
07/14/17 16:58:11.356 AB Mar 29 2013  abUserAgent.dll nowe loads ok.
07/14/17 16:58:11.357 AB Jan 21 2013  DLL crash fixed.  Log files (non-AB) re-directed.  Speaker can be turned off.
07/14/17 16:58:11.358 AB Temporary files directory: C:\Users\sgartia\AppData\Local\Temp\ab_temp\691357\
07/14/17 16:58:11.363 AB sName resources/0.wav
07/14/17 16:58:11.370 AB sName resources/1.wav
07/14/17 16:58:11.378 AB sName resources/2.wav
07/14/17 16:58:11.384 AB sName resources/3.wav
07/14/17 16:58:11.390 AB sName resources/4.wav
07/14/17 16:58:11.396 AB sName resources/5.wav
07/14/17 16:58:11.401 AB sName resources/6.wav
07/14/17 16:58:11.407 AB sName resources/7.wav
07/14/17 16:58:11.613 AB sName resources/8.wav
07/14/17 16:58:11.619 AB sName resources/9.wav
07/14/17 16:58:11.623 AB sName resources/Accept.wav
07/14/17 16:58:11.629 AB sName resources/AddressBook.wav
07/14/17 16:58:11.634 AB sName resources/AnotherNumber.wav
07/14/17 16:58:11.639 AB sName resources/Call.wav
07/14/17 16:58:11.643 AB sName resources/DepartmentOne.wav
07/14/17 16:58:11.648 AB sName resources/Deskphone.wav
07/14/17 16:58:11.653 AB sName resources/Everyone.wav
07/14/17 16:58:11.658 AB sName resources/From.wav
07/14/17 16:58:11.663 AB sName resources/HomePhone.wav
07/14/17 16:58:11.669 AB sName resources/LogOut.wav
07/14/17 16:58:11.674 AB sName resources/Only.wav
07/14/17 16:58:11.678 AB sName resources/OutsideBuddy.wav
07/14/17 16:58:11.683 AB sName resources/Stop_Forwarding.wav
07/14/17 16:58:11.688 AB sName resources/To.wav
07/14/17 16:58:11.693 AB sName resources/Transfer.wav
07/14/17 16:58:11.697 AB sName resources/WhatGroupsAmIIn.wav
07/14/17 16:58:11.702 AB sName resources/WhatTimeIsIt.wav
07/14/17 16:58:11.709 AB sName resources/WhoAmI.wav
07/14/17 16:58:11.715 AB sName resources/a-2.wav
07/14/17 16:58:11.866 AB sName resources/a.wav
07/14/17 16:58:11.872 AB sName resources/accept_all_calls.wav
07/14/17 16:58:11.881 AB sName resources/add.wav
07/14/17 16:58:11.890 AB sName resources/address_book.wav
07/14/17 16:58:11.899 AB sName resources/all.wav
07/14/17 16:58:11.905 AB sName resources/an-2.wav
07/14/17 16:58:11.911 AB sName resources/an.wav
07/14/17 16:58:11.917 AB sName resources/announce.wav
07/14/17 16:58:11.924 AB sName resources/another.wav
07/14/17 16:58:11.931 AB sName resources/another_number.wav
07/14/17 16:58:11.938 AB sName resources/b.wav
07/14/17 16:58:11.943 AB sName resources/back.wav
07/14/17 16:58:11.948 AB sName resources/block.wav
07/14/17 16:58:11.953 AB sName resources/block_all_calls.wav
07/14/17 16:58:11.960 AB sName resources/block_all_calls_except.wav
07/14/17 16:58:12.030 AB sName resources/broadcast.wav
07/14/17 16:58:12.043 AB sName resources/buddies.wav
07/14/17 16:58:12.053 AB sName resources/c.wav
07/14/17 16:58:12.058 AB sName resources/calls.wav
07/14/17 16:58:12.063 AB sName resources/cancel.wav
07/14/17 16:58:12.069 AB sName resources/cell.wav
07/14/17 16:58:12.074 AB sName resources/cell_phone.wav
07/14/17 16:58:12.079 AB sName resources/cellphone.wav
07/14/17 16:58:12.084 AB sName resources/command.wav
07/14/17 16:58:12.092 AB sName resources/conference.wav
07/14/17 16:58:12.100 AB sName resources/connect_to.wav
07/14/17 16:58:12.105 AB sName resources/d.wav
07/14/17 16:58:12.210 AB sName resources/delete.wav
07/14/17 16:58:12.223 AB sName resources/department_one.wav
07/14/17 16:58:12.234 AB sName resources/desk.wav
07/14/17 16:58:12.242 AB sName resources/desk_phone.wav
07/14/17 16:58:12.249 AB sName resources/dial.wav
07/14/17 16:58:12.257 AB sName resources/double.wav
07/14/17 16:58:12.263 AB sName resources/e.wav
07/14/17 16:58:12.269 AB sName resources/erase.wav
07/14/17 16:58:12.274 AB sName resources/except.wav
07/14/17 16:58:12.280 AB sName resources/extension.wav
07/14/17 16:58:12.284 AB sName resources/f.wav
07/14/17 16:58:12.290 AB sName resources/forward.wav
07/14/17 16:58:12.295 AB sName resources/forward_ALL_option.wav
07/14/17 16:58:12.300 AB sName resources/forward_OFFLINE_Option.wav
07/14/17 16:58:12.306 AB sName resources/forward_my_calls_to.wav
07/14/17 16:58:12.311 AB sName resources/forwarding.wav
07/14/17 16:58:12.316 AB sName resources/from-2.wav
07/14/17 16:58:12.339 AB sName resources/g.wav
07/14/17 16:58:12.344 AB sName resources/greeting.wav
07/14/17 16:58:12.350 AB sName resources/group-2.wav
07/14/17 16:58:12.355 AB sName resources/group.wav
07/14/17 16:58:12.360 AB sName resources/h.wav
07/14/17 16:58:12.365 AB sName resources/home.wav
07/14/17 16:58:12.370 AB sName resources/home_phone.wav
07/14/17 16:58:12.375 AB sName resources/i.wav
07/14/17 16:58:12.382 AB sName resources/j.wav
07/14/17 16:58:12.386 AB sName resources/join_the_conference_for.wav
07/14/17 16:58:12.392 AB sName resources/k.wav
07/14/17 16:58:12.398 AB sName resources/l.wav
07/14/17 16:58:12.402 AB sName resources/learn.wav
07/14/17 16:58:12.407 AB sName resources/leave_the_conference_for.wav
07/14/17 16:58:12.413 AB sName resources/log_out.wav
07/14/17 16:58:12.493 AB sName resources/m.wav
07/14/17 16:58:12.504 AB sName resources/me.wav
07/14/17 16:58:12.510 AB sName resources/messages.wav
07/14/17 16:58:12.516 AB sName resources/my.wav
07/14/17 16:58:12.523 AB sName resources/n.wav
07/14/17 16:58:12.529 AB sName resources/name.wav
07/14/17 16:58:12.535 AB sName resources/naught.wav
07/14/17 16:58:12.540 AB sName resources/no.wav
07/14/17 16:58:12.544 AB sName resources/number.wav
07/14/17 16:58:12.550 AB sName resources/o.wav
07/14/17 16:58:12.555 AB sName resources/off.wav
07/14/17 16:58:12.560 AB sName resources/oh.wav
07/14/17 16:58:12.565 AB sName resources/old.wav
07/14/17 16:58:12.570 AB sName resources/on.wav
07/14/17 16:58:12.575 AB sName resources/outside.wav
07/14/17 16:58:12.580 AB sName resources/outside_buddy.wav
07/14/17 16:58:12.585 AB sName resources/p.wav
07/14/17 16:58:12.590 AB sName resources/page.wav
07/14/17 16:58:12.595 AB sName resources/phone.wav
07/14/17 16:58:12.610 AB sName resources/play.wav
