07/14/17 16:58:19.083 AB ================ AB START ========================
07/14/17 16:58:19.085 AB Args: -ipServer 172.30.29.1 -ip 172.30.26.145 -cmd C:\Autoclient\TOOL\ab\Temp\172.30.26.145_TempAb.ab -out C:\Autoclient\TOOL\ab\Temp\172.30.26.145_2017_07_14_16_58.out -dir C:\Autoclient\TOOL\AB5\ -log 5 -wavdir C:\Autoclient\TOOL\ab\WavFiles -apMac ff11111111ff -mac 0009ef001003 -rtp 
07/14/17 16:58:19.085 AB 
07/14/17 16:58:19.086 AB java.vm.name Java HotSpot(TM) 64-Bit Server VM
07/14/17 16:58:19.087 AB java.runtime.version 1.8.0_121-b13
07/14/17 16:58:19.087 AB AB4 -- Automated Badge Version 4 (Build 9400)
07/14/17 16:58:19.087 AB Apr 21 2013  added -phoneLogDir for vomo-SIP logs.
07/14/17 16:58:19.087 AB Mar 29 2013  abUserAgent.dll nowe loads ok.
07/14/17 16:58:19.087 AB Jan 21 2013  DLL crash fixed.  Log files (non-AB) re-directed.  Speaker can be turned off.
07/14/17 16:58:19.089 AB Temporary files directory: C:\Users\sgartia\AppData\Local\Temp\ab_temp\699088\
07/14/17 16:58:19.093 AB sName resources/0.wav
07/14/17 16:58:19.099 AB sName resources/1.wav
07/14/17 16:58:19.103 AB sName resources/2.wav
07/14/17 16:58:19.108 AB sName resources/3.wav
07/14/17 16:58:19.114 AB sName resources/4.wav
07/14/17 16:58:19.118 AB sName resources/5.wav
07/14/17 16:58:19.123 AB sName resources/6.wav
07/14/17 16:58:19.127 AB sName resources/7.wav
07/14/17 16:58:19.815 AB sName resources/8.wav
07/14/17 16:58:19.825 AB sName resources/9.wav
07/14/17 16:58:19.831 AB sName resources/Accept.wav
07/14/17 16:58:19.840 AB sName resources/AddressBook.wav
07/14/17 16:58:19.848 AB sName resources/AnotherNumber.wav
07/14/17 16:58:19.854 AB sName resources/Call.wav
07/14/17 16:58:19.861 AB sName resources/DepartmentOne.wav
07/14/17 16:58:19.867 AB sName resources/Deskphone.wav
07/14/17 16:58:19.872 AB sName resources/Everyone.wav
07/14/17 16:58:19.877 AB sName resources/From.wav
07/14/17 16:58:19.884 AB sName resources/HomePhone.wav
07/14/17 16:58:19.890 AB sName resources/LogOut.wav
07/14/17 16:58:19.895 AB sName resources/Only.wav
07/14/17 16:58:19.900 AB sName resources/OutsideBuddy.wav
07/14/17 16:58:19.905 AB sName resources/Stop_Forwarding.wav
07/14/17 16:58:19.911 AB sName resources/To.wav
07/14/17 16:58:19.917 AB sName resources/Transfer.wav
07/14/17 16:58:19.923 AB sName resources/WhatGroupsAmIIn.wav
07/14/17 16:58:19.929 AB sName resources/WhatTimeIsIt.wav
07/14/17 16:58:19.937 AB sName resources/WhoAmI.wav
07/14/17 16:58:19.943 AB sName resources/a-2.wav
07/14/17 16:58:20.002 AB sName resources/a.wav
07/14/17 16:58:20.004 AB sName resources/accept_all_calls.wav
07/14/17 16:58:20.009 AB sName resources/add.wav
07/14/17 16:58:20.014 AB sName resources/address_book.wav
07/14/17 16:58:20.020 AB sName resources/all.wav
07/14/17 16:58:20.026 AB sName resources/an-2.wav
07/14/17 16:58:20.033 AB sName resources/an.wav
07/14/17 16:58:20.038 AB sName resources/announce.wav
07/14/17 16:58:20.043 AB sName resources/another.wav
07/14/17 16:58:20.051 AB sName resources/another_number.wav
07/14/17 16:58:20.056 AB sName resources/b.wav
07/14/17 16:58:20.061 AB sName resources/back.wav
07/14/17 16:58:20.066 AB sName resources/block.wav
07/14/17 16:58:20.072 AB sName resources/block_all_calls.wav
07/14/17 16:58:20.079 AB sName resources/block_all_calls_except.wav
07/14/17 16:58:20.230 AB sName resources/broadcast.wav
07/14/17 16:58:20.236 AB sName resources/buddies.wav
07/14/17 16:58:20.242 AB sName resources/c.wav
07/14/17 16:58:20.249 AB sName resources/calls.wav
07/14/17 16:58:20.254 AB sName resources/cancel.wav
07/14/17 16:58:20.259 AB sName resources/cell.wav
07/14/17 16:58:20.266 AB sName resources/cell_phone.wav
07/14/17 16:58:20.272 AB sName resources/cellphone.wav
07/14/17 16:58:20.279 AB sName resources/command.wav
07/14/17 16:58:20.286 AB sName resources/conference.wav
07/14/17 16:58:20.295 AB sName resources/connect_to.wav
07/14/17 16:58:20.300 AB sName resources/d.wav
07/14/17 16:58:20.353 AB sName resources/delete.wav
07/14/17 16:58:20.358 AB sName resources/department_one.wav
07/14/17 16:58:20.364 AB sName resources/desk.wav
07/14/17 16:58:20.369 AB sName resources/desk_phone.wav
07/14/17 16:58:20.374 AB sName resources/dial.wav
07/14/17 16:58:20.380 AB sName resources/double.wav
07/14/17 16:58:20.385 AB sName resources/e.wav
07/14/17 16:58:20.391 AB sName resources/erase.wav
07/14/17 16:58:20.396 AB sName resources/except.wav
07/14/17 16:58:20.401 AB sName resources/extension.wav
07/14/17 16:58:20.406 AB sName resources/f.wav
07/14/17 16:58:20.411 AB sName resources/forward.wav
07/14/17 16:58:20.417 AB sName resources/forward_ALL_option.wav
07/14/17 16:58:20.422 AB sName resources/forward_OFFLINE_Option.wav
07/14/17 16:58:20.428 AB sName resources/forward_my_calls_to.wav
07/14/17 16:58:20.434 AB sName resources/forwarding.wav
07/14/17 16:58:20.439 AB sName resources/from-2.wav
07/14/17 16:58:20.787 AB sName resources/g.wav
07/14/17 16:58:20.793 AB sName resources/greeting.wav
07/14/17 16:58:20.799 AB sName resources/group-2.wav
07/14/17 16:58:20.817 AB sName resources/group.wav
07/14/17 16:58:20.981 AB sName resources/h.wav
07/14/17 16:58:20.989 AB sName resources/home.wav
07/14/17 16:58:20.997 AB sName resources/home_phone.wav
07/14/17 16:58:21.003 AB sName resources/i.wav
07/14/17 16:58:21.010 AB sName resources/j.wav
07/14/17 16:58:21.018 AB sName resources/join_the_conference_for.wav
07/14/17 16:58:21.038 AB sName resources/k.wav
07/14/17 16:58:21.044 AB sName resources/l.wav
07/14/17 16:58:21.051 AB sName resources/learn.wav
07/14/17 16:58:21.060 AB sName resources/leave_the_conference_for.wav
07/14/17 16:58:21.066 AB sName resources/log_out.wav
07/14/17 16:58:21.098 AB sName resources/m.wav
07/14/17 16:58:21.106 AB sName resources/me.wav
07/14/17 16:58:21.114 AB sName resources/messages.wav
07/14/17 16:58:21.121 AB sName resources/my.wav
07/14/17 16:58:21.132 AB sName resources/n.wav
07/14/17 16:58:21.142 AB sName resources/name.wav
07/14/17 16:58:21.148 AB sName resources/naught.wav
07/14/17 16:58:21.158 AB sName resources/no.wav
07/14/17 16:58:21.166 AB sName resources/number.wav
07/14/17 16:58:21.175 AB sName resources/o.wav
07/14/17 16:58:21.184 AB sName resources/off.wav
07/14/17 16:58:21.194 AB sName resources/oh.wav
07/14/17 16:58:21.201 AB sName resources/old.wav
07/14/17 16:58:21.215 AB sName resources/on.wav
07/14/17 16:58:21.223 AB sName resources/outside.wav
07/14/17 16:58:21.231 AB sName resources/outside_buddy.wav
07/14/17 16:58:21.239 AB sName resources/p.wav
07/14/17 16:58:21.248 AB sName resources/page.wav
07/14/17 16:58:21.256 AB sName resources/phone.wav
07/14/17 16:58:21.263 AB sName resources/play.wav
07/14/17 16:58:21.271 AB sName resources/play_welcome_tutorial.wav
07/14/17 16:58:21.278 AB sName resources/pound.wav
07/14/17 16:58:21.285 AB sName resources/q.wav
07/14/17 16:58:21.293 AB sName resources/r.wav
07/14/17 16:58:21.300 AB sName resources/record.wav
07/14/17 16:58:21.308 AB sName resources/redial.wav
07/14/17 16:58:21.316 AB sName resources/remove.wav
07/14/17 16:58:21.324 AB sName resources/repeat.wav
07/14/17 16:58:21.332 AB sName resources/s.wav
07/14/17 16:58:21.339 AB sName resources/save.wav
07/14/17 16:58:21.346 AB sName resources/send_a_message_to.wav
07/14/17 16:58:21.355 AB sName resources/speaker.wav
07/14/17 16:58:21.360 AB sName resources/star.wav
07/14/17 16:58:21.369 AB sName resources/stop.wav
07/14/17 16:58:21.375 AB sName resources/t.wav
07/14/17 16:58:21.382 AB sName resources/text.wav
07/14/17 16:58:21.389 AB sName resources/through.wav
07/14/17 16:58:21.401 AB sName resources/time.wav
07/14/17 16:58:21.408 AB sName resources/to-2.wav
07/14/17 16:58:21.419 AB sName resources/treble.wav
07/14/17 16:58:21.426 AB sName resources/triple.wav
07/14/17 16:58:21.437 AB sName resources/turn.wav
07/14/17 16:58:21.444 AB sName resources/u.wav
07/14/17 16:58:21.452 AB sName resources/unlearn.wav
07/14/17 16:58:21.460 AB sName resources/urgent.wav
07/14/17 16:58:21.467 AB sName resources/urgently.wav
07/14/17 16:58:21.475 AB sName resources/v.wav
07/14/17 16:58:2
