SenderVCSID,SenderDeviceMacID,SenderVMPID,RecipientVCSID,RecipientDeviceMacID,RecipientVMPID
User98,aaa000990098,441,User14,aaa000990014,357
User99,aaa000990099,442,User15,aaa000990015,358
User165,aaa000990165,508,User16,aaa000990016,359
User164,aaa000990164,507,User17,aaa000990017,360
User163,aaa000990163,506,User18,aaa000990018,361
User162,aaa000990162,505,User19,aaa000990019,362
User161,aaa000990161,504,User198,aaa000990198,541
User160,aaa000990160,503,User199,aaa000990199,542
User90,aaa000990090,433,User192,aaa000990192,535
User91,aaa000990091,434,User193,aaa000990193,536
User92,aaa000990092,435,User190,aaa000990190,533
User93,aaa000990093,436,User191,aaa000990191,534
User94,aaa000990094,437,User196,aaa000990196,539
User95,aaa000990095,438,User197,aaa000990197,540
User96,aaa000990096,439,User194,aaa000990194,537
User97,aaa000990097,440,User195,aaa000990195,538
User10,aaa000990010,353,User112,aaa000990112,455
User11,aaa000990011,354,User113,aaa000990113,456
User12,aaa000990012,355,User110,aaa000990110,453
User13,aaa000990013,356,User111,aaa000990111,454
