SenderVCSID,SenderDeviceMacID,SenderVMPID,RecipientVCSID,RecipientDeviceMacID,RecipientVMPID
User116,aaa000990116,459,User128,aaa000990128,471
User117,aaa000990117,460,User141,aaa000990141,484
User114,aaa000990114,457,User140,aaa000990140,483
User115,aaa000990115,458,User143,aaa000990143,486
User118,aaa000990118,461,User142,aaa000990142,485
User119,aaa000990119,462,User145,aaa000990145,488
User174,aaa000990174,517,User144,aaa000990144,487
User175,aaa000990175,518,User147,aaa000990147,490
User176,aaa000990176,519,User146,aaa000990146,489
User177,aaa000990177,520,User149,aaa000990149,492
User170,aaa000990170,513,User148,aaa000990148,491
User171,aaa000990171,514,User200,aaa000990200,543
User172,aaa000990172,515,User78,aaa000990078,421
User173,aaa000990173,516,User79,aaa000990079,422
User127,aaa000990127,470,User72,aaa000990072,415
User178,aaa000990178,521,User73,aaa000990073,416
User179,aaa000990179,522,User70,aaa000990070,413
User126,aaa000990126,469,User71,aaa000990071,414
User169,aaa000990169,512,User76,aaa000990076,419
User168,aaa000990168,511,User77,aaa000990077,420
