SenderVCSID,SenderDeviceMacID,SenderVMPID,RecipientVCSID,RecipientDeviceMacID,RecipientVMPID
User74,aaa000990074,417,User150,aaa000990150,493
User75,aaa000990075,418,User151,aaa000990151,494
User87,aaa000990087,430,User69,aaa000990069,412
User86,aaa000990086,429,User68,aaa000990068,411
User85,aaa000990085,428,User61,aaa000990061,404
User84,aaa000990084,427,User60,aaa000990060,403
User83,aaa000990083,426,User63,aaa000990063,406
User82,aaa000990082,425,User62,aaa000990062,405
User81,aaa000990081,424,User65,aaa000990065,408
User80,aaa000990080,423,User64,aaa000990064,407
User89,aaa000990089,432,User67,aaa000990067,410
User88,aaa000990088,431,User66,aaa000990066,409
User158,aaa000990158,501,User54,aaa000990054,397
User159,aaa000990159,502,User55,aaa000990055,398
User156,aaa000990156,499,User56,aaa000990056,399
User157,aaa000990157,500,User57,aaa000990057,400
User154,aaa000990154,497,User50,aaa000990050,393
User155,aaa000990155,498,User51,aaa000990051,394
User152,aaa000990152,495,User52,aaa000990052,395
User153,aaa000990153,496,User53,aaa000990053,396
