SenderVCSID,SenderDeviceMacID,SenderVMPID,RecipientVCSID,RecipientDeviceMacID,RecipientVMPID
User123,aaa000990123,466,User134,aaa000990134,477
User122,aaa000990122,465,User135,aaa000990135,478
User121,aaa000990121,464,User136,aaa000990136,479
User120,aaa000990120,463,User137,aaa000990137,480
User58,aaa000990058,401,User189,aaa000990189,532
User59,aaa000990059,402,User188,aaa000990188,531
User125,aaa000990125,468,User167,aaa000990167,510
User124,aaa000990124,467,User187,aaa000990187,530
User43,aaa000990043,386,User138,aaa000990138,481
User42,aaa000990042,385,User166,aaa000990166,509
User41,aaa000990041,384,User139,aaa000990139,482
User40,aaa000990040,383,User36,aaa000990036,379
User47,aaa000990047,390,User37,aaa000990037,380
User46,aaa000990046,389,User34,aaa000990034,377
User45,aaa000990045,388,User35,aaa000990035,378
User44,aaa000990044,387,User32,aaa000990032,375
User130,aaa000990130,473,User33,aaa000990033,376
User131,aaa000990131,474,User30,aaa000990030,373
User49,aaa000990049,392,User31,aaa000990031,374
User48,aaa000990048,391,User182,aaa000990182,525
